AutoDock-GPU version: v1.6-release

Running 1 docking calculation

Cuda device:                              NVIDIA A100-PCIE-40GB (#1 / 2)
Available memory on device:               40007 MB (total: 40444 MB)

CUDA Setup time 0.278253s
(Thread 95 is setting up Job #1)

Running Job #1
    Using heuristics: (capped) number of evaluations set to 8108109
    Warning: The set number of evals is 32.43% of the uncapped heuristics estimate of 25000000 evals.
             This means this docking may not be able to converge. Increasing --heurmax may improve
             convergence but will also increase runtime.
             AutoStop will not stop before 23.96% (1942585) of the set number of evaluations.
    Local-search chosen method is: ADADELTA (ad)

Rest of Setup time 0.003970s

Executing docking runs, stopping automatically after either reaching 0.15 kcal/mol standard deviation of
the best molecules of the last 4 * 5 generations, 42000 generations, or 8108109 evaluations:

Generations |  Evaluations |     Threshold    |  Average energy of best 10%  | Samples | Best Inter + Intra
       1130 |      6932681 |   62.07 kcal/mol |   59.52 +/-    1.23 kcal/mol |       4 |   58.81 kcal/mol
       1135 |      6963824 |   64.13 kcal/mol |   60.76 +/-    1.60 kcal/mol |       4 |   58.81 kcal/mol
       1140 |      6994619 |   66.78 kcal/mol |   62.20 +/-    1.36 kcal/mol |      16 |   58.81 kcal/mol
       1145 |      7026418 |   63.47 kcal/mol |   60.00 +/-    1.31 kcal/mol |       4 |   58.81 kcal/mol
       1150 |      7057040 |   64.93 kcal/mol |   60.87 +/-    1.56 kcal/mol |       8 |   58.81 kcal/mol
       1155 |      7086896 |   63.79 kcal/mol |   60.11 +/-    0.76 kcal/mol |       4 |   58.81 kcal/mol
       1160 |      7116239 |   62.96 kcal/mol |   60.59 +/-    0.96 kcal/mol |       5 |   58.81 kcal/mol
       1165 |      7146638 |   63.48 kcal/mol |   59.78 +/-    1.03 kcal/mol |       8 |   58.81 kcal/mol
       1170 |      7179197 |   61.71 kcal/mol |   60.71 +/-    1.09 kcal/mol |       4 |   58.81 kcal/mol
       1175 |      7208770 |   64.81 kcal/mol |   61.87 +/-    0.96 kcal/mol |      12 |   58.81 kcal/mol
       1180 |      7238675 |   63.08 kcal/mol |   61.54 +/-    1.41 kcal/mol |       5 |   58.81 kcal/mol
       1185 |      7268138 |   65.77 kcal/mol |   62.09 +/-    1.01 kcal/mol |      13 |   58.81 kcal/mol
       1190 |      7298670 |   63.26 kcal/mol |   60.13 +/-    1.32 kcal/mol |       4 |   58.81 kcal/mol
       1195 |      7327924 |   65.08 kcal/mol |   61.23 +/-    1.25 kcal/mol |      11 |   58.81 kcal/mol
       1200 |      7358192 |   62.94 kcal/mol |   60.41 +/-    1.06 kcal/mol |       4 |   58.81 kcal/mol
       1205 |      7388068 |   64.39 kcal/mol |   60.69 +/-    1.15 kcal/mol |       6 |   58.81 kcal/mol
       1210 |      7418648 |   63.55 kcal/mol |   59.56 +/-    0.97 kcal/mol |       4 |   58.81 kcal/mol
       1215 |      7448632 |   63.19 kcal/mol |   60.68 +/-    1.22 kcal/mol |       4 |   58.81 kcal/mol
       1220 |      7479433 |   65.27 kcal/mol |   61.95 +/-    1.01 kcal/mol |      13 |   58.81 kcal/mol
       1225 |      7510878 |   63.11 kcal/mol |   59.83 +/-    1.03 kcal/mol |       4 |   58.81 kcal/mol
       1230 |      7540181 |   63.68 kcal/mol |   61.60 +/-    1.40 kcal/mol |       5 |   58.81 kcal/mol
       1235 |      7569432 |   65.80 kcal/mol |   62.31 +/-    0.94 kcal/mol |      19 |   58.81 kcal/mol
       1240 |      7598557 |   63.06 kcal/mol |   60.09 +/-    1.04 kcal/mol |       5 |   58.81 kcal/mol
       1245 |      7628526 |   63.22 kcal/mol |   60.11 +/-    1.31 kcal/mol |       4 |   58.81 kcal/mol
       1250 |      7658312 |   65.04 kcal/mol |   61.23 +/-    1.54 kcal/mol |       7 |   58.81 kcal/mol
       1255 |      7687772 |   64.52 kcal/mol |   60.33 +/-    1.02 kcal/mol |       4 |   58.81 kcal/mol
       1260 |      7718328 |   64.17 kcal/mol |   61.03 +/-    0.99 kcal/mol |       7 |   58.81 kcal/mol
       1265 |      7749378 |   63.14 kcal/mol |   60.30 +/-    0.96 kcal/mol |       4 |   58.81 kcal/mol
       1270 |      7779515 |   63.89 kcal/mol |   60.58 +/-    1.21 kcal/mol |       4 |   58.81 kcal/mol
       1275 |      7809712 |   65.11 kcal/mol |   61.46 +/-    1.15 kcal/mol |       9 |   58.81 kcal/mol
       1280 |      7839508 |   63.37 kcal/mol |   61.06 +/-    1.30 kcal/mol |       4 |   58.81 kcal/mol
       1285 |      7868715 |   65.95 kcal/mol |   62.47 +/-    0.90 kcal/mol |      29 |   58.81 kcal/mol
       1290 |      7901270 |   62.93 kcal/mol |   60.32 +/-    1.51 kcal/mol |       4 |   58.81 kcal/mol
       1295 |      7933198 |   65.98 kcal/mol |   61.97 +/-    1.03 kcal/mol |      18 |   58.81 kcal/mol
       1300 |      7964598 |   62.83 kcal/mol |   60.49 +/-    1.08 kcal/mol |       4 |   58.81 kcal/mol
       1305 |      7994981 |   64.55 kcal/mol |   61.27 +/-    1.10 kcal/mol |       8 |   58.81 kcal/mol
       1310 |      8025522 |   63.34 kcal/mol |   60.51 +/-    0.98 kcal/mol |       4 |   58.81 kcal/mol
       1315 |      8054906 |   64.18 kcal/mol |   61.57 +/-    0.84 kcal/mol |      15 |   58.81 kcal/mol
       1320 |      8084307 |   62.41 kcal/mol |   60.42 +/-    1.62 kcal/mol |       4 |   58.81 kcal/mol
       1324 |      8108210 |   66.48 kcal/mol |   62.08 +/-    1.17 kcal/mol |      32 |   58.67 kcal/mol
------------+--------------+------------------+------------------------------+---------+-------------------

                                   Finished evaluation after reaching
                       8108210 evaluations. Best inter + intra    58.67 kcal/mol.


Shutdown time 0.000672s

Job #1 took 1.213 sec after waiting 0.329 sec for setup

(Thread 95 is processing Job #1)
Run time of entire job set (1 file): 1.655 sec
Processing time: 0.102 sec

All jobs (1) ran without errors.
